Density	Noise	OP	stdev
4.00	0.00	1.000	0.000
4.00	0.25	0.997	0.000
4.00	0.50	0.980	0.000
4.00	0.75	0.957	0.000
4.00	1.00	0.943	0.000
4.00	1.25	0.904	0.000
4.00	1.50	0.874	0.001
4.00	1.75	0.834	0.001
4.00	2.00	0.777	0.001
4.00	2.25	0.676	0.008
4.00	2.50	0.607	0.024
4.00	2.75	0.613	0.002
4.00	3.00	0.556	0.004
4.00	3.25	0.447	0.008
4.00	3.50	0.339	0.010
4.00	3.75	0.261	0.003
4.00	4.00	0.238	0.011
4.00	4.25	0.149	0.002
4.00	4.50	0.112	0.004
4.00	4.75	0.064	0.002
4.00	5.00	0.058	0.000
4.00	5.25	0.037	0.000
4.00	5.50	0.038	0.000
4.00	5.75	0.032	0.000
4.00	6.00	0.025	0.000
