Density	Noise	OP	stdev
0.25	3.00	0.120	0.000
0.50	3.00	0.129	0.002
0.75	3.00	0.173	0.006
1.00	3.00	0.215	0.024
1.25	3.00	0.410	0.017
1.50	3.00	0.393	0.003
1.75	3.00	0.391	0.007
2.00	3.00	0.463	0.037
2.25	3.00	0.342	0.014
2.50	3.00	0.472	0.002
2.75	3.00	0.439	0.017
3.00	3.00	0.544	0.002
3.25	3.00	0.490	0.013
3.50	3.00	0.545	0.007
3.75	3.00	0.569	0.004
4.00	3.00	0.572	0.005
4.25	3.00	0.606	0.002
4.50	3.00	0.526	0.010
4.75	3.00	0.598	0.005
5.00	3.00	0.581	0.002
5.25	3.00	0.624	0.002
5.50	3.00	0.604	0.002
5.75	3.00	0.593	0.001
6.00	3.00	0.633	0.001
6.25	3.00	0.640	0.000
6.50	3.00	0.617	0.001
6.75	3.00	0.617	0.001
7.00	3.00	0.589	0.000
7.25	3.00	0.625	0.000
7.50	3.00	0.619	0.001
7.75	3.00	0.638	0.001
8.00	3.00	0.605	0.007
8.25	3.00	0.639	0.000
8.50	3.00	0.640	0.000
8.75	3.00	0.625	0.000
9.00	3.00	0.647	0.001
9.25	3.00	0.631	0.000
9.50	3.00	0.627	0.000
9.75	3.00	0.605	0.002
10.00	3.00	0.647	0.000
