Density	Noise	OP	stdev
4.00	0.00	1.000	0.000
4.00	0.25	0.997	0.000
4.00	0.50	0.987	-0.000
4.00	0.75	0.987	0.000
4.00	1.00	0.977	-0.000
4.00	1.25	0.966	-0.000
4.00	1.50	0.862	0.000
4.00	1.75	0.859	0.001
4.00	2.00	0.860	0.000
4.00	2.25	0.721	0.000
4.00	2.50	0.672	0.001
4.00	2.75	0.647	0.000
4.00	3.00	0.727	0.000
4.00	3.25	0.684	0.000
4.00	3.50	0.626	0.000
4.00	3.75	0.416	0.000
4.00	4.00	0.399	0.001
4.00	4.25	0.372	0.000
4.00	4.50	0.507	0.000
4.00	4.75	0.450	0.029
4.00	5.00	0.374	0.000
4.00	5.25	0.387	0.000
4.00	5.50	0.459	0.009
4.00	5.75	0.389	0.004
4.00	6.00	0.270	0.000
