Density	Noise	OP	stdev
4.00	0.00	1.000	0.000
4.00	0.25	0.997	0.000
4.00	0.50	0.989	0.000
4.00	0.75	0.974	0.000
4.00	1.00	0.957	0.000
4.00	1.25	0.933	0.000
4.00	1.50	0.896	0.000
4.00	1.75	0.856	0.000
4.00	2.00	0.830	0.000
4.00	2.25	0.778	0.000
4.00	2.50	0.712	0.000
4.00	2.75	0.658	0.002
4.00	3.00	0.616	0.002
4.00	3.25	0.562	0.000
4.00	3.50	0.478	0.000
4.00	3.75	0.400	0.003
4.00	4.00	0.355	0.008
4.00	4.25	0.260	0.009
4.00	4.50	0.246	0.004
4.00	4.75	0.132	0.012
4.00	5.00	0.092	0.002
4.00	5.25	0.128	0.003
4.00	5.50	0.118	0.006
4.00	5.75	0.063	0.001
4.00	6.00	0.090	0.001
