Density	Noise	OP	stdev
0.25	3.50	0.235	0.013
0.50	3.50	0.245	0.023
0.75	3.50	0.313	0.017
1.00	3.50	0.341	0.040
1.25	3.50	0.421	0.014
1.50	3.50	0.350	0.022
1.75	3.50	0.365	0.022
2.00	3.50	0.494	0.017
2.25	3.50	0.454	0.005
2.50	3.50	0.537	0.002
2.75	3.50	0.514	0.005
3.00	3.50	0.466	0.002
3.25	3.50	0.573	0.005
3.50	3.50	0.557	0.003
3.75	3.50	0.523	0.011
4.00	3.50	0.539	0.009
4.25	3.50	0.521	0.008
4.50	3.50	0.491	0.010
4.75	3.50	0.543	0.004
5.00	3.50	0.549	0.004
5.25	3.50	0.483	0.002
5.50	3.50	0.579	0.006
5.75	3.50	0.561	0.001
6.00	3.50	0.586	0.001
6.25	3.50	0.547	0.004
6.50	3.50	0.548	0.002
6.75	3.50	0.511	0.006
7.00	3.50	0.604	0.007
7.25	3.50	0.597	0.001
7.50	3.50	0.546	0.000
7.75	3.50	0.542	0.003
8.00	3.50	0.596	0.001
8.25	3.50	0.575	0.003
8.50	3.50	0.573	0.004
8.75	3.50	0.559	0.004
9.00	3.50	0.591	0.001
9.25	3.50	0.560	0.004
9.50	3.50	0.586	0.003
9.75	3.50	0.556	0.004
10.00	3.50	0.535	0.003
