Density	Noise	OP	stdev
4.00	0.00	1.000	0.000
4.00	0.25	0.997	0.000
4.00	0.50	0.989	0.000
4.00	0.75	0.972	0.000
4.00	1.00	0.956	0.000
4.00	1.25	0.934	0.000
4.00	1.50	0.922	0.000
4.00	1.75	0.865	0.000
4.00	2.00	0.826	0.001
4.00	2.25	0.789	0.001
4.00	2.50	0.755	0.004
4.00	2.75	0.686	0.002
4.00	3.00	0.637	0.001
4.00	3.25	0.592	0.002
4.00	3.50	0.572	0.007
4.00	3.75	0.574	0.003
4.00	4.00	0.426	0.004
4.00	4.25	0.389	0.013
4.00	4.50	0.219	0.018
4.00	4.75	0.206	0.001
4.00	5.00	0.104	0.008
4.00	5.25	0.191	0.003
4.00	5.50	0.220	0.005
4.00	5.75	0.132	0.011
4.00	6.00	0.206	0.017
