Density	Noise	OP	stdev
0.25	3.00	0.250	0.008
0.50	3.00	0.372	0.024
0.75	3.00	0.423	0.015
1.00	3.00	0.469	0.003
1.25	3.00	0.606	0.006
1.50	3.00	0.545	0.034
1.75	3.00	0.584	0.006
2.00	3.00	0.626	0.003
2.25	3.00	0.588	0.006
2.50	3.00	0.587	0.006
2.75	3.00	0.629	0.003
3.00	3.00	0.623	0.011
3.25	3.00	0.644	0.001
3.50	3.00	0.635	0.003
3.75	3.00	0.637	0.002
4.00	3.00	0.704	0.003
4.25	3.00	0.630	0.005
4.50	3.00	0.619	0.004
4.75	3.00	0.601	0.002
5.00	3.00	0.644	0.003
5.25	3.00	0.655	0.002
5.50	3.00	0.596	0.002
5.75	3.00	0.682	0.003
6.00	3.00	0.683	0.000
6.25	3.00	0.677	0.005
6.50	3.00	0.659	0.001
6.75	3.00	0.695	0.000
7.00	3.00	0.669	0.002
7.25	3.00	0.677	0.001
7.50	3.00	0.685	0.001
7.75	3.00	0.695	0.002
8.00	3.00	0.701	0.002
8.25	3.00	0.675	0.001
8.50	3.00	0.668	0.004
8.75	3.00	0.673	0.001
9.00	3.00	0.687	0.001
9.25	3.00	0.680	0.001
9.50	3.00	0.641	0.002
9.75	3.00	0.674	0.000
10.00	3.00	0.688	0.001
