Density	Noise	OP	stdev
4.00	0.00	1.000	-0.000
4.00	0.25	0.997	0.000
4.00	0.50	0.986	0.000
4.00	0.75	0.971	0.000
4.00	1.00	0.944	0.000
4.00	1.25	0.907	0.001
4.00	1.50	0.877	0.001
4.00	1.75	0.858	0.000
4.00	2.00	0.789	0.003
4.00	2.25	0.720	0.014
4.00	2.50	0.657	0.005
4.00	2.75	0.619	0.007
4.00	3.00	0.579	0.002
4.00	3.25	0.530	0.001
4.00	3.50	0.442	0.012
4.00	3.75	0.396	0.000
4.00	4.00	0.225	0.012
4.00	4.25	0.171	0.013
4.00	4.50	0.174	0.008
4.00	4.75	0.110	0.002
4.00	5.00	0.063	0.000
4.00	5.25	0.038	0.000
4.00	5.50	0.072	0.000
4.00	5.75	0.052	0.000
4.00	6.00	0.036	0.000
