Density	Noise	OP	stdev
0.25	3.00	0.030	0.000
0.50	3.00	0.036	0.001
0.75	3.00	0.072	0.001
1.00	3.00	0.114	0.006
1.25	3.00	0.166	0.003
1.50	3.00	0.153	0.003
1.75	3.00	0.220	0.009
2.00	3.00	0.173	0.004
2.25	3.00	0.285	0.014
2.50	3.00	0.230	0.021
2.75	3.00	0.407	0.007
3.00	3.00	0.268	0.025
3.25	3.00	0.260	0.027
3.50	3.00	0.428	0.025
3.75	3.00	0.403	0.013
4.00	3.00	0.294	0.053
4.25	3.00	0.427	0.007
4.50	3.00	0.363	0.019
4.75	3.00	0.514	0.001
5.00	3.00	0.484	0.003
5.25	3.00	0.488	0.001
5.50	3.00	0.565	0.001
5.75	3.00	0.416	0.041
6.00	3.00	0.450	0.017
6.25	3.00	0.480	0.017
6.50	3.00	0.549	0.001
6.75	3.00	0.495	0.009
7.00	3.00	0.572	0.002
7.25	3.00	0.540	0.004
7.50	3.00	0.526	0.003
7.75	3.00	0.508	0.049
8.00	3.00	0.545	0.001
8.25	3.00	0.580	0.003
8.50	3.00	0.556	0.001
8.75	3.00	0.618	0.000
9.00	3.00	0.595	0.001
9.25	3.00	0.598	0.002
9.50	3.00	0.607	0.000
9.75	3.00	0.526	0.018
10.00	3.00	0.580	0.002
